id,name,spouse,child,gender,father,mother,born,died,birth_place,place_of_death,position_held,instance_of,occupation,description,enwiki,url
Q1553059,Joktan,,"[u'Q2905798', u'Q7493584', u'Q2905463', u'Q5638029', u'Q7904500', u'Q14925390']",male,Q502282,,,,,,,"[u'human', u'biblical character']",,,Joktan,https://www.wikidata.org/wiki/Q1553059
Q2040793,Reu,,Q1161313,male,Q1648259,,,,,,,"[u'human', u'biblical character']",,,Reu,https://www.wikidata.org/wiki/Q2040793
Q2905798,Almodad,,,male,,,,,,,,human,,,Almodad,https://www.wikidata.org/wiki/Q2905798
Q7493584,Sheleph,,,,,,,,,,,,,,Sheleph,https://www.wikidata.org/wiki/Q7493584
Q2905463,Hazarmaveth,,,male,,,,,,,,human,,,Hazarmaveth,https://www.wikidata.org/wiki/Q2905463
Q5638029,Hadoram,,,,,,,,,,,,,,Hadoram,https://www.wikidata.org/wiki/Q5638029
Q7904500,Uzal,,,,,,,,,,,,,,Uzal,https://www.wikidata.org/wiki/Q7904500
Q14925390,Abimael,,,,,,,,,,,biblical character,,,,https://www.wikidata.org/wiki/Q14925390
Q1161313,Serug,,Q18698851,male,Q2040793,,,,,,,"[u'human', u'biblical character']",,,Serug,https://www.wikidata.org/wiki/Q1161313
Q18698851,Nahor,,Q586541,male,Q1161313,,,,,,,"[u'biblical character', u'human']",,,,https://www.wikidata.org/wiki/Q18698851
Q586541,Terah,,"[u'Q9181', u'Q1199156', u'Q6323112']",male,Q18698851,,,,,Haran,,human,,,Terah,https://www.wikidata.org/wiki/Q586541
Q9181,Abraham,"[u'Q194808', u'Q214617']","[u'Q183403', u'Q671872']",male,,,,,,,,"[u'human', u'biblical character']",prophet,,Abraham,https://www.wikidata.org/wiki/Q9181
Q1199156,Haran,,"[u'Q40574', u'Q1752707', u'Q1449132']",male,Q586541,,,,,,,biblical character,,,Haran,https://www.wikidata.org/wiki/Q1199156
Q6323112,Nahor,,Q1579827,male,Q586541,,,,,,,human,,,,https://www.wikidata.org/wiki/Q6323112
Q194808,Sarah,Q9181,"[u'Q671872', u'Q1642480']",female,,,,,,,,human,,,Sarah,https://www.wikidata.org/wiki/Q194808
Q214617,Hagar,Q9181,Q183403,female,,,,,Egypt,Desert of Paran,,human,,,Hagar,https://www.wikidata.org/wiki/Q214617
Q183403,Ishmael,,"[u'Q3773487', u'Q2669401', u'Q3320047', u'Q5313606', u'Q6398999']",male,Q9181,Q214617,,,,,,human,,,Ishmael,https://www.wikidata.org/wiki/Q183403
Q671872,Isaac,,"[u'Q289957', u'Q220822']",male,Q9181,Q194808,,,,,,human,,,Isaac,https://www.wikidata.org/wiki/Q671872
